Fail Time,Speed,Brake,Gas,Steering,X-Position,Z-Position,Cosine Curves
,19.40082,0,0,-0.0204365,-157.8,-178.5,0
,19.08827,0,0,-0.02126443,-157.4,-177.8,0
,19.22289,0,0,-0.02083514,-156.9,-177.1,0
,18.55629,0,0,-0.02046717,-156.5,-176.2,0
,18.27098,0,0,-0.02046717,-156.1,-175.5,0
,18.48706,0,0,-0.02049783,-155.6,-174.6,0
,18.21517,0,0,-0.02770388,-155,-173.7,0
,17.42609,0,0,-0.03653513,-154.7,-173,0
,17.68619,0,0,-0.04582635,-154.2,-172.2,0
,17.424,100,0,-0.05441229,-153.7,-171.2,2.0253513192751313
,16.61871,100,0,-0.05882791,-153.2,-170.3,7.93732335844094
,15.22856,100,0,-0.05882791,-152.9,-169.8,17.256963302735745
,13.70282,100,0,-0.05882791,-152.6,-169.2,29.22924934990568
,11.89731,100,0,-0.05223514,-152.4,-168.7,42.884258086335734
,10.43116,100,0,-0.03797635,-152.2,-168.3,57.11574191366425
,8.934679,100,0,-0.02405486,-152.1,-168,70.77075065009431
,7.474336,100,0,0,-151.9,-167.7,82.74303669726424
,6.038599,100,0,0.02466814,-151.8,-167.5,92.06267664155907
,4.33267,100,0,0.05036463,-151.7,-167.4,97.97464868072487
,2.925713,100,0,0.06968299,-151.7,-167.3,100.0
,1.533871,100,0,0.08007811,-151.7,-167.3,100.0
,0.006714192,100,0,0.08618025,-151.7,-167.3,97.97464868072487
,0.000602243,100,0,0.08756014,-151.7,-167.3,92.06267664155907
,0.000226515,100,0,0.08756014,-151.7,-167.3,82.74303669726426
,0.00019502,100,0,0.08756014,-151.7,-167.3,70.77075065009433
,4.65E-05,100,0,0.08756014,-151.7,-167.3,57.115741913664266
,3.27E-05,100,0,0.08756014,-151.7,-167.3,42.88425808633575
,1.56E-05,100,0,0.08771347,-151.7,-167.3,29.229249349905682
,2.64E-06,100,0,0.09077987,-151.7,-167.3,17.256963302735752
,4.64E-06,100,0,0.09777127,-151.7,-167.3,7.937323358440929
,2.08E-06,34.11765,0,0.1002244,-151.7,-167.3,2.025351319275137
,1.70E-06,0,0,0.1002244,-151.7,-167.3,0
,1.13E-06,0,0,0.1002244,-151.7,-167.3,0
,9.65E-07,0,0,0.1002244,-151.7,-167.3,0
,9.81E-07,0,0,0.1002244,-151.7,-167.3,0
,1.30E-06,0,0,0.1005617,-151.7,-167.3,0
,1.41E-06,0,0,0.1054066,-151.7,-167.3,0
,1.33E-06,0,0,0.1064492,-151.7,-167.3,0
,1.26E-06,0,0,0.1064799,-151.7,-167.3,0
,1.03E-06,0,0,0.1064799,-151.7,-167.3,0
,9.68E-07,0,0,0.1064799,-151.7,-167.3,0
,9.89E-07,0,0,0.1064799,-151.7,-167.3,0
,9.84E-07,0,0,0.1064799,-151.7,-167.3,0
,9.99E-07,0,0,0.1064799,-151.7,-167.3,0
,9.94E-07,0,0,0.1064799,-151.7,-167.3,0
,9.98E-07,0,13.72549,0.1060199,-151.7,-167.3,0
,9.92E-07,0,13.72549,0.09826189,-151.7,-167.2,0
,0.6264497,0,14.5098,0.07695038,-151.7,-167.2,0
